seed,dimension,p,k,time,lowerBound,upperBound,termination,LMOcalls,openNodes
1,30,150,6.0,1.390454e6,3.5509927023061065,3.6177972196873176,Time limit reached,34244,908
1,30,150,6.0,1.390659e6,3.5509927023061065,3.6177972196873176,Time limit reached,34250,909
1,30,150,6.0,1.390821e6,3.551126546844872,3.6177972196873176,Time limit reached,34255,908
1,30,150,6.0,1.39245e6,3.551126546844872,3.6177972196873176,Time limit reached,34283,909
1,30,150,6.0,1.395113e6,3.551219775979283,3.6177972196873176,Time limit reached,34326,910
1,30,150,6.0,1.395922e6,3.551219775979283,3.6177972196873176,Time limit reached,34344,911
1,30,150,6.0,1.400726e6,3.5512348383645107,3.6177972196873176,Time limit reached,34376,910
1,30,150,6.0,1.402006e6,3.5512348383645107,3.6177972196873176,Time limit reached,34397,911
1,30,150,6.0,1.405533e6,3.5513795129984262,3.6177972196873176,Time limit reached,34429,910
1,30,150,6.0,1.406793e6,3.5513795129984262,3.6177972196873176,Time limit reached,34454,911
1,30,150,6.0,1.408102e6,3.551455738676347,3.6177972196873176,Time limit reached,34480,912
1,30,150,6.0,1.410878e6,3.551455738676347,3.6177972196873176,Time limit reached,34517,913
1,30,150,6.0,1.414432e6,3.551476236485246,3.6177972196873176,Time limit reached,34550,914
1,30,150,6.0,1.415286e6,3.551476236485246,3.6177972196873176,Time limit reached,34564,915
1,30,150,6.0,1.417087e6,3.551552231920399,3.6177972196873176,Time limit reached,34591,914
1,30,150,6.0,1.417922e6,3.551552231920399,3.6177972196873176,Time limit reached,34615,915
1,30,150,6.0,1.420477e6,3.55155403282563,3.6177972196873176,Time limit reached,34652,914
1,30,150,6.0,1.421032e6,3.55155403282563,3.6177972196873176,Time limit reached,34657,915
1,30,150,6.0,1.42142e6,3.5515674535673982,3.6177972196873176,Time limit reached,34668,914
1,30,150,6.0,1.423522e6,3.5515674535673982,3.6177972196873176,Time limit reached,34685,915
1,30,150,6.0,1.425226e6,3.551667051429759,3.6177972196873176,Time limit reached,34719,914
1,30,150,6.0,1.426343e6,3.551667051429759,3.6177972196873176,Time limit reached,34739,915
1,30,150,6.0,1.430826e6,3.5519193718491775,3.6177972196873176,Time limit reached,34778,914
1,30,150,6.0,1.431923e6,3.5519193718491775,3.6177972196873176,Time limit reached,34783,915
1,30,150,6.0,1.432389e6,3.5519271363334752,3.6177972196873176,Time limit reached,34795,914
1,30,150,6.0,1.433586e6,3.5519271363334752,3.6177972196873176,Time limit reached,34804,915
1,30,150,6.0,1.43419e6,3.5520430403158954,3.6177972196873176,Time limit reached,34816,914
1,30,150,6.0,1.436882e6,3.5520430403158954,3.6177972196873176,Time limit reached,34847,915
1,30,150,6.0,1.440582e6,3.5520882474609037,3.6177972196873176,Time limit reached,34887,916
1,30,150,6.0,1.441744e6,3.5520882474609037,3.6177972196873176,Time limit reached,34903,917
1,30,150,6.0,1.446681e6,3.552164890989566,3.6177972196873176,Time limit reached,34932,916
1,30,150,6.0,1.447866e6,3.552164890989566,3.6177972196873176,Time limit reached,34948,917
1,30,150,6.0,1.451541e6,3.5522222286728975,3.6177972196873176,Time limit reached,34976,916
1,30,150,6.0,1.452294e6,3.5522222286728975,3.6177972196873176,Time limit reached,34987,917
