seed,dimension,p,k,Ns,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
5,90,90,45.0,1.0,328981.0,0.2594500884990702,0.9999999999999984,Time limit reached,25286,0,0
5,90,90,45.0,1.0,329728.0,0.2594500884990702,0.9999999999999984,Time limit reached,25341,0,0
5,90,90,45.0,1.0,330435.0,0.2594515304107576,0.9999999999999984,Time limit reached,25396,0,0
5,90,90,45.0,1.0,331080.0,0.2594515304107576,0.9999999999999984,Time limit reached,25444,0,0
5,90,90,45.0,1.0,331736.0,0.25945190284071995,0.9999999999999984,Time limit reached,25493,0,0
5,90,90,45.0,1.0,332360.0,0.25945190284071995,0.9999999999999984,Time limit reached,25538,0,0
5,90,90,45.0,1.0,333017.0,0.2594524021125491,0.9999999999999984,Time limit reached,25586,0,0
5,90,90,45.0,1.0,333450.0,0.2594524021125491,0.9999999999999984,Time limit reached,25622,0,0
5,90,90,45.0,1.0,334068.0,0.25945256840597924,0.9999999999999984,Time limit reached,25667,0,0
5,90,90,45.0,1.0,334744.0,0.25945256840597924,0.9999999999999984,Time limit reached,25716,0,0
5,90,90,45.0,1.0,335506.0,0.25945341493238594,0.9999999999999984,Time limit reached,25772,0,0
5,90,90,45.0,1.0,336058.0,0.25945341493238594,0.9999999999999984,Time limit reached,25819,0,0
5,90,90,45.0,1.0,336753.0,0.25945341493238594,0.9999999999999984,Time limit reached,25870,0,0
5,90,90,45.0,1.0,337496.0,0.25945341493238594,0.9999999999999984,Time limit reached,25924,0,0
5,90,90,45.0,1.0,337964.0,0.25945359538236173,0.9999999999999984,Time limit reached,25964,0,0
5,90,90,45.0,1.0,338577.0,0.25945359538236173,0.9999999999999984,Time limit reached,26008,0,0
5,90,90,45.0,1.0,339209.0,0.2594537378047444,0.9999999999999984,Time limit reached,26055,0,0
5,90,90,45.0,1.0,339978.0,0.2594537378047444,0.9999999999999984,Time limit reached,26109,0,0
5,90,90,45.0,1.0,340684.0,0.2594537378047444,0.9999999999999984,Time limit reached,26161,0,0
5,90,90,45.0,1.0,341408.0,0.2594537378047444,0.9999999999999984,Time limit reached,26211,0,0
5,90,90,45.0,1.0,342064.0,0.2594562578710026,0.9999999999999984,Time limit reached,26260,0,0
5,90,90,45.0,1.0,342741.0,0.2594562578710026,0.9999999999999984,Time limit reached,26309,0,0
5,90,90,45.0,1.0,343415.0,0.2594579717970589,0.9999999999999984,Time limit reached,26358,0,0
5,90,90,45.0,1.0,344140.0,0.2594579717970589,0.9999999999999984,Time limit reached,26409,0,0
5,90,90,45.0,1.0,344869.0,0.25945829961171885,0.9999999999999984,Time limit reached,26463,0,0
5,90,90,45.0,1.0,345627.0,0.25945829961171885,0.9999999999999984,Time limit reached,26515,0,0
5,90,90,45.0,1.0,346425.0,0.25945858160425705,0.9999999999999984,Time limit reached,26572,0,0
5,90,90,45.0,1.0,346914.0,0.25945858160425705,0.9999999999999984,Time limit reached,26611,0,0
5,90,90,45.0,1.0,347609.0,0.25945858160425705,0.9999999999999984,Time limit reached,26661,0,0
5,90,90,45.0,1.0,348283.0,0.25945858160425705,0.9999999999999984,Time limit reached,26710,0,0
5,90,90,45.0,1.0,348746.0,0.2594591956525363,0.9999999999999984,Time limit reached,26750,0,0
5,90,90,45.0,1.0,349477.0,0.2594591956525363,0.9999999999999984,Time limit reached,26804,0,0
5,90,90,45.0,1.0,349994.0,0.2594600418280283,0.9999999999999984,Time limit reached,26849,0,0
5,90,90,45.0,1.0,350638.0,0.2594600418280283,0.9999999999999984,Time limit reached,26895,0,0
5,90,90,45.0,1.0,351337.0,0.25946076344086444,0.9999999999999984,Time limit reached,26946,0,0
5,90,90,45.0,1.0,351997.0,0.25946076344086444,0.9999999999999984,Time limit reached,26993,0,0
5,90,90,45.0,1.0,352571.0,0.25946087652404676,0.9999999999999984,Time limit reached,27034,0,0
5,90,90,45.0,1.0,353008.0,0.25946087652404676,0.9999999999999984,Time limit reached,27067,0,0
5,90,90,45.0,1.0,353518.0,0.25946087652404676,0.9999999999999984,Time limit reached,27104,0,0
5,90,90,45.0,1.0,354033.0,0.25946087652404676,0.9999999999999984,Time limit reached,27141,0,0
5,90,90,45.0,1.0,354579.0,0.25946087652404676,0.9999999999999984,Time limit reached,27183,0,0
5,90,90,45.0,1.0,355083.0,0.25946087652404676,0.9999999999999984,Time limit reached,27220,0,0
5,90,90,45.0,1.0,355621.0,0.25946087652404676,0.9999999999999984,Time limit reached,27259,0,0
5,90,90,45.0,1.0,356147.0,0.25946087652404676,0.9999999999999984,Time limit reached,27297,0,0
5,90,90,45.0,1.0,356692.0,0.25946087652404676,0.9999999999999984,Time limit reached,27336,0,0
5,90,90,45.0,1.0,357260.0,0.25946087652404676,0.9999999999999984,Time limit reached,27375,0,0
5,90,90,45.0,1.0,357797.0,0.25946087652404676,0.9999999999999984,Time limit reached,27413,0,0
5,90,90,45.0,1.0,358311.0,0.25946087652404676,0.9999999999999984,Time limit reached,27451,0,0
5,90,90,45.0,1.0,358872.0,0.25946087652404676,0.9999999999999984,Time limit reached,27493,0,0
5,90,90,45.0,1.0,359451.0,0.25946087652404676,0.9999999999999984,Time limit reached,27533,0,0
5,90,90,45.0,1.0,359921.0,0.2594610081889863,0.9999999999999984,Time limit reached,27572,0,0
5,90,90,45.0,1.0,360464.0,0.2594610081889863,0.9999999999999984,Time limit reached,27611,0,0
5,90,90,45.0,1.0,361171.0,0.2594616704456822,0.9999999999999984,Time limit reached,27663,0,0
5,90,90,45.0,1.0,361818.0,0.2594616704456822,0.9999999999999984,Time limit reached,27710,0,0
5,90,90,45.0,1.0,362441.0,0.2594616704456822,0.9999999999999984,Time limit reached,27754,0,0
5,90,90,45.0,1.0,363090.0,0.2594616704456822,0.9999999999999984,Time limit reached,27801,0,0
5,90,90,45.0,1.0,363733.0,0.2594620731794974,0.9999999999999984,Time limit reached,27847,0,0
