seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
7,15,5,75,15.0,1.0,76408.0,0.25580116402369724,0.37952440429666867,Time limit reached,10966,0,0
7,15,5,75,15.0,1.0,76907.0,0.25580116402369724,0.37952440429666867,Time limit reached,11020,0,0
7,15,5,75,15.0,1.0,77010.0,0.25581910904263794,0.37952440429666867,Time limit reached,11044,0,0
7,15,5,75,15.0,1.0,77242.0,0.25581910904263794,0.37952440429666867,Time limit reached,11086,0,0
7,15,5,75,15.0,1.0,77475.0,0.25582371344752014,0.37952440429666867,Time limit reached,11131,0,0
7,15,5,75,15.0,1.0,77814.0,0.25582371344752014,0.37952440429666867,Time limit reached,11162,0,0
7,15,5,75,15.0,1.0,77907.0,0.25583324096932875,0.37952440429666867,Time limit reached,11184,0,0
7,15,5,75,15.0,1.0,78277.0,0.25583324096932875,0.37952440429666867,Time limit reached,11232,0,0
7,15,5,75,15.0,1.0,79290.0,0.25583324096932875,0.37952440429666867,Time limit reached,11318,0,0
7,15,5,75,15.0,1.0,79689.0,0.25583324096932875,0.37952440429666867,Time limit reached,11360,0,0
7,15,5,75,15.0,1.0,79835.0,0.25585787392037856,0.37952440429666867,Time limit reached,11397,0,0
7,15,5,75,15.0,1.0,80163.0,0.25585787392037856,0.37952440429666867,Time limit reached,11458,0,0
7,15,5,75,15.0,1.0,80572.0,0.25587482517179627,0.37952440429666867,Time limit reached,11538,0,0
7,15,5,75,15.0,1.0,80922.0,0.25587482517179627,0.37952440429666867,Time limit reached,11597,0,0
7,15,5,75,15.0,1.0,81402.0,0.25588206893725196,0.37952440429666867,Time limit reached,11685,0,0
7,15,5,75,15.0,1.0,81801.0,0.25588206893725196,0.37952440429666867,Time limit reached,11751,0,0
7,15,5,75,15.0,1.0,82380.0,0.25588390023244373,0.37952440429666867,Time limit reached,11846,0,0
7,15,5,75,15.0,1.0,82723.0,0.25588390023244373,0.37952440429666867,Time limit reached,11909,0,0
7,15,5,75,15.0,1.0,83127.0,0.25588390023244373,0.37952440429666867,Time limit reached,11983,0,0
7,15,5,75,15.0,1.0,83474.0,0.25588390023244373,0.37952440429666867,Time limit reached,12043,0,0
7,15,5,75,15.0,1.0,83944.0,0.2558880823852001,0.37952440429666867,Time limit reached,12126,0,0
7,15,5,75,15.0,1.0,84375.0,0.2558880823852001,0.37952440429666867,Time limit reached,12189,0,0
7,15,5,75,15.0,1.0,85019.0,0.25589354301438383,0.37952440429666867,Time limit reached,12279,0,0
7,15,5,75,15.0,1.0,85400.0,0.25589354301438383,0.37952440429666867,Time limit reached,12347,0,0
7,15,5,75,15.0,1.0,85821.0,0.2558948048721222,0.37952440429666867,Time limit reached,12421,0,0
7,15,5,75,15.0,1.0,86230.0,0.2558948048721222,0.37952440429666867,Time limit reached,12482,0,0
7,15,5,75,15.0,1.0,86933.0,0.2559056920933102,0.37952440429666867,Time limit reached,12578,0,0
7,15,5,75,15.0,1.0,87378.0,0.2559056920933102,0.37952440429666867,Time limit reached,12647,0,0
7,15,5,75,15.0,1.0,88017.0,0.2559066519272637,0.37952440429666867,Time limit reached,12734,0,0
7,15,5,75,15.0,1.0,88408.0,0.2559066519272637,0.37952440429666867,Time limit reached,12787,0,0
7,15,5,75,15.0,1.0,89444.0,0.25594053099049574,0.37952440429666867,Time limit reached,12878,0,0
7,15,5,75,15.0,1.0,89705.0,0.25594053099049574,0.37952440429666867,Time limit reached,12927,0,0
7,15,5,75,15.0,1.0,90034.0,0.25594607416618437,0.37952440429666867,Time limit reached,12987,0,0
7,15,5,75,15.0,1.0,90399.0,0.25594607416618437,0.37952440429666867,Time limit reached,13049,0,0
7,15,5,75,15.0,1.0,90968.0,0.2559671512890103,0.37952440429666867,Time limit reached,13145,0,0
7,15,5,75,15.0,1.0,91437.0,0.2559671512890103,0.37952440429666867,Time limit reached,13200,0,0
7,15,5,75,15.0,1.0,91530.0,0.25596742235414044,0.37952440429666867,Time limit reached,13223,0,0
7,15,5,75,15.0,1.0,91985.0,0.25596742235414044,0.37952440429666867,Time limit reached,13297,0,0
7,15,5,75,15.0,1.0,92615.0,0.25596742235414044,0.37952440429666867,Time limit reached,13388,0,0
7,15,5,75,15.0,1.0,93082.0,0.25596742235414044,0.37952440429666867,Time limit reached,13448,0,0
7,15,5,75,15.0,1.0,94220.0,0.25596742235414044,0.37952440429666867,Time limit reached,13539,0,0
7,15,5,75,15.0,1.0,94862.0,0.25596742235414044,0.37952440429666867,Time limit reached,13598,0,0
7,15,5,75,15.0,1.0,94998.0,0.2559679076606609,0.37952440429666867,Time limit reached,13619,0,0
7,15,5,75,15.0,1.0,95357.0,0.2559679076606609,0.37952440429666867,Time limit reached,13668,0,0
7,15,5,75,15.0,1.0,95778.0,0.25597060887478923,0.37952440429666867,Time limit reached,13727,0,0
7,15,5,75,15.0,1.0,96379.0,0.25597060887478923,0.37952440429666867,Time limit reached,13790,0,0
7,15,5,75,15.0,1.0,97629.0,0.25597060887478923,0.37952440429666867,Time limit reached,13882,0,0
7,15,5,75,15.0,1.0,98122.0,0.25597060887478923,0.37952440429666867,Time limit reached,13930,0,0
7,15,5,75,15.0,1.0,98244.0,0.2559788672371831,0.37952440429666867,Time limit reached,13949,0,0
7,15,5,75,15.0,1.0,98783.0,0.2559788672371831,0.37952440429666867,Time limit reached,14015,0,0
7,15,5,75,15.0,1.0,99473.0,0.25598328530028236,0.37952440429666867,Time limit reached,14100,0,0
7,15,5,75,15.0,1.0,100033.0,0.25598328530028236,0.37952440429666867,Time limit reached,14160,0,0
7,15,5,75,15.0,1.0,101299.0,0.25598328530028236,0.37952440429666867,Time limit reached,14246,0,0
7,15,5,75,15.0,1.0,101838.0,0.25598328530028236,0.37952440429666867,Time limit reached,14300,0,0
7,15,5,75,15.0,1.0,103304.0,0.25598328530028236,0.37952440429666867,Time limit reached,14402,0,0
7,15,5,75,15.0,1.0,103857.0,0.25598328530028236,0.37952440429666867,Time limit reached,14448,0,0
7,15,5,75,15.0,1.0,104011.0,0.25598328530028236,0.37952440429666867,Time limit reached,14473,0,0
7,15,5,75,15.0,1.0,104542.0,0.25598328530028236,0.37952440429666867,Time limit reached,14514,0,0
7,15,5,75,15.0,1.0,104675.0,0.2560006771301243,0.37952440429666867,Time limit reached,14535,0,0
7,15,5,75,15.0,1.0,105124.0,0.2560006771301243,0.37952440429666867,Time limit reached,14593,0,0
7,15,5,75,15.0,1.0,105782.0,0.25600468569868573,0.37952440429666867,Time limit reached,14680,0,0
7,15,5,75,15.0,1.0,106298.0,0.25600468569868573,0.37952440429666867,Time limit reached,14734,0,0
7,15,5,75,15.0,1.0,107529.0,0.25600468569868573,0.37952440429666867,Time limit reached,14823,0,0
7,15,5,75,15.0,1.0,108080.0,0.25600468569868573,0.37952440429666867,Time limit reached,14876,0,0
7,15,5,75,15.0,1.0,108211.0,0.2560077177012878,0.37952440429666867,Time limit reached,14899,0,0
7,15,5,75,15.0,1.0,108646.0,0.2560077177012878,0.37952440429666867,Time limit reached,14958,0,0
7,15,5,75,15.0,1.0,109328.0,0.25601274709163807,0.37952440429666867,Time limit reached,15048,0,0
7,15,5,75,15.0,1.0,109873.0,0.25601274709163807,0.37952440429666867,Time limit reached,15117,0,0
7,15,5,75,15.0,1.0,110591.0,0.25601755986747593,0.37952440429666867,Time limit reached,15212,0,0
7,15,5,75,15.0,1.0,111113.0,0.25601755986747593,0.37952440429666867,Time limit reached,15279,0,0
7,15,5,75,15.0,1.0,111924.0,0.25601755986747593,0.37952440429666867,Time limit reached,15374,0,0
7,15,5,75,15.0,1.0,112441.0,0.25601755986747593,0.37952440429666867,Time limit reached,15432,0,0
7,15,5,75,15.0,1.0,113606.0,0.2560224394300109,0.37952440429666867,Time limit reached,15521,0,0
7,15,5,75,15.0,1.0,114071.0,0.2560224394300109,0.37952440429666867,Time limit reached,15584,0,0
7,15,5,75,15.0,1.0,114862.0,0.2560358842293591,0.37952440429666867,Time limit reached,15682,0,0
7,15,5,75,15.0,1.0,115232.0,0.2560358842293591,0.37952440429666867,Time limit reached,15738,0,0
